fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.993,0.999,0.996,0.993,0.999,0.996,0.993,0.982,0.987
2,0.992,1.0,0.996,0.992,1.0,0.996,0.996,0.981,0.988
3,0.999,0.996,0.997,0.999,0.996,0.997,0.989,0.994,0.992
4,0.993,0.999,0.996,0.993,0.999,0.996,0.995,0.982,0.988
5,0.994,0.999,0.996,0.994,0.999,0.996,0.995,0.984,0.989
Unweighted mean ± std.,0.994 ± 0.003,0.999 ± 0.002,0.996 ± 0.000,0.994 ± 0.003,0.999 ± 0.002,0.996 ± 0.000,0.994 ± 0.003,0.985 ± 0.005,0.989 ± 0.002
