dataset,n_total,n_human,n_ai,ratio_human,ratio_ai,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
CLIN,1100.0,550.0,550.0,0.5,0.5,0.946,0.48,0.637,0.946,0.48,0.637,0.799,0.726,0.709
CSI,5447.0,907.0,4540.0,0.16651367725353405,0.833486322746466,0.964,0.995,0.98,0.964,0.995,0.98,0.968,0.905,0.933
News,3060.0,510.0,2550.0,0.16666666666666666,0.8333333333333334,0.996,0.983,0.989,0.996,0.983,0.989,0.958,0.982,0.969
Unweighted mean,3202.333,655.667,2546.667,0.278,0.722,0.969,0.819,0.869,0.969,0.819,0.869,0.908,0.871,0.87
