fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.979,0.978,0.979,0.979,0.978,0.979,0.952,0.953,0.953
2,0.972,0.992,0.982,0.972,0.992,0.982,0.971,0.946,0.958
3,0.98,0.982,0.981,0.98,0.982,0.981,0.959,0.957,0.958
4,0.985,0.976,0.981,0.985,0.976,0.981,0.953,0.962,0.957
5,0.983,0.987,0.985,0.983,0.987,0.985,0.969,0.964,0.967
Unweighted mean ± std.,0.980 ± 0.005,0.983 ± 0.007,0.982 ± 0.002,0.980 ± 0.005,0.983 ± 0.007,0.982 ± 0.002,0.961 ± 0.009,0.956 ± 0.007,0.959 ± 0.005
