fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.98,0.969,0.975,0.98,0.969,0.975,0.947,0.956,0.951
2,0.987,0.976,0.981,0.987,0.976,0.981,0.959,0.969,0.964
3,0.985,0.966,0.976,0.985,0.966,0.976,0.946,0.962,0.953
4,0.984,0.976,0.98,0.984,0.976,0.98,0.957,0.964,0.961
5,0.99,0.969,0.98,0.99,0.969,0.98,0.953,0.971,0.961
Unweighted mean ± std.,0.985 ± 0.004,0.971 ± 0.005,0.978 ± 0.003,0.985 ± 0.004,0.971 ± 0.005,0.978 ± 0.003,0.952 ± 0.006,0.964 ± 0.006,0.958 ± 0.006
