fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
2,0.999,1.0,0.999,1.0,0.999,0.999,0.999,0.999,0.999
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
5,0.997,1.0,0.999,1.0,0.997,0.999,0.999,0.999,0.999
Unweighted mean ± std.,0.999 ± 0.001,1.000 ± 0.001,0.999 ± 0.000,1.000 ± 0.001,0.999 ± 0.001,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000,0.999 ± 0.000
