fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.964,0.989,0.976,0.988,0.963,0.975,0.976,0.976,0.976
2,0.975,0.998,0.986,0.998,0.974,0.986,0.987,0.986,0.986
3,0.975,0.99,0.982,0.99,0.974,0.982,0.982,0.982,0.982
4,0.975,0.99,0.982,0.99,0.974,0.982,0.982,0.982,0.982
5,0.969,0.995,0.982,0.995,0.968,0.981,0.982,0.981,0.981
Unweighted mean ± std.,0.972 ± 0.005,0.992 ± 0.004,0.982 ± 0.004,0.992 ± 0.004,0.971 ± 0.005,0.981 ± 0.004,0.982 ± 0.004,0.981 ± 0.004,0.981 ± 0.004
