fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,1.0,0.448,0.619,0.841,1.0,0.914,0.921,0.724,0.766
2,0.991,0.514,0.677,0.857,0.998,0.923,0.924,0.756,0.8
3,1.0,0.443,0.614,0.84,1.0,0.913,0.92,0.722,0.764
4,0.989,0.425,0.594,0.835,0.998,0.91,0.912,0.711,0.752
5,0.991,0.509,0.673,0.856,0.998,0.922,0.923,0.754,0.797
Unweighted mean ± std.,0.994 ± 0.005,0.468 ± 0.041,0.635 ± 0.037,0.846 ± 0.010,0.999 ± 0.001,0.916 ± 0.006,0.920 ± 0.005,0.733 ± 0.020,0.776 ± 0.021
