fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.977,0.736,0.84,0.929,0.995,0.961,0.953,0.866,0.9
2,0.981,0.712,0.825,0.923,0.996,0.958,0.952,0.854,0.892
3,0.974,0.766,0.858,0.937,0.994,0.965,0.955,0.88,0.911
4,0.973,0.756,0.851,0.934,0.994,0.963,0.954,0.875,0.907
5,0.986,0.742,0.847,0.931,0.997,0.963,0.959,0.87,0.905
Unweighted mean ± std.,0.978 ± 0.005,0.742 ± 0.021,0.844 ± 0.013,0.931 ± 0.005,0.995 ± 0.001,0.962 ± 0.003,0.955 ± 0.003,0.869 ± 0.010,0.903 ± 0.007
