dataset,n_total,n_human,n_ai,ratio_human,ratio_ai,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
CLIN,1100.0,550.0,550.0,0.5,0.5,0.836,0.675,0.746,0.836,0.675,0.746,0.781,0.771,0.769
CSI,5447.0,907.0,4540.0,0.16651367725353405,0.833486322746466,0.878,1.0,0.935,0.878,1.0,0.935,0.939,0.653,0.702
News,3060.0,510.0,2550.0,0.16666666666666666,0.8333333333333334,0.971,0.998,0.985,0.971,0.998,0.985,0.981,0.925,0.95
Unweighted mean,3202.333,655.667,2546.667,0.278,0.722,0.895,0.891,0.889,0.895,0.891,0.889,0.9,0.783,0.807
