fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.812,0.939,0.871,0.978,0.926,0.951,0.895,0.932,0.911
2,0.823,0.967,0.889,0.988,0.929,0.958,0.906,0.948,0.923
3,0.838,0.925,0.879,0.973,0.939,0.956,0.905,0.932,0.917
4,0.827,0.948,0.884,0.981,0.932,0.956,0.904,0.94,0.92
5,0.816,0.962,0.883,0.986,0.926,0.955,0.901,0.944,0.919
Unweighted mean ± std.,0.823 ± 0.010,0.948 ± 0.017,0.881 ± 0.007,0.981 ± 0.006,0.930 ± 0.005,0.955 ± 0.003,0.902 ± 0.004,0.939 ± 0.007,0.918 ± 0.004
