dataset,n_total,n_human,n_ai,ratio_human,ratio_ai,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
CLIN,1100.0,550.0,550.0,0.5,0.5,0.677,0.942,0.788,0.904,0.551,0.685,0.791,0.746,0.736
CSI,5447.0,907.0,4540.0,0.16651367725353405,0.833486322746466,0.728,0.782,0.754,0.956,0.942,0.949,0.842,0.862,0.851
News,3060.0,510.0,2550.0,0.16666666666666666,0.8333333333333334,0.845,0.955,0.897,0.991,0.965,0.978,0.918,0.96,0.937
Unweighted mean,3202.333,655.667,2546.667,0.278,0.722,0.75,0.893,0.813,0.95,0.819,0.871,0.85,0.856,0.841
