fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.839,0.911,0.874,0.974,0.95,0.962,0.906,0.93,0.918
2,0.836,0.908,0.87,0.973,0.949,0.961,0.904,0.928,0.915
3,0.825,0.921,0.87,0.977,0.944,0.96,0.901,0.932,0.915
4,0.824,0.918,0.868,0.976,0.944,0.96,0.9,0.931,0.914
5,0.833,0.907,0.868,0.973,0.948,0.96,0.903,0.928,0.914
Unweighted mean ± std.,0.831 ± 0.007,0.913 ± 0.006,0.870 ± 0.002,0.975 ± 0.002,0.947 ± 0.003,0.961 ± 0.001,0.903 ± 0.002,0.930 ± 0.002,0.915 ± 0.002
