fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.967,0.93,0.948,0.986,0.994,0.99,0.977,0.962,0.969
2,0.97,0.923,0.946,0.985,0.994,0.989,0.978,0.958,0.968
3,0.971,0.961,0.966,0.992,0.994,0.993,0.982,0.978,0.98
4,0.977,0.915,0.945,0.983,0.996,0.989,0.98,0.955,0.967
5,0.978,0.951,0.964,0.99,0.996,0.993,0.984,0.973,0.979
Unweighted mean ± std.,0.973 ± 0.005,0.936 ± 0.019,0.954 ± 0.010,0.987 ± 0.004,0.995 ± 0.001,0.991 ± 0.002,0.980 ± 0.003,0.965 ± 0.010,0.973 ± 0.006
