fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.961,0.987,0.974,0.987,0.96,0.973,0.974,0.973,0.973
2,0.972,0.994,0.982,0.993,0.971,0.982,0.983,0.982,0.982
3,0.968,0.985,0.977,0.985,0.968,0.976,0.977,0.977,0.977
4,0.972,0.99,0.981,0.99,0.971,0.98,0.981,0.981,0.981
5,0.966,0.995,0.98,0.995,0.965,0.98,0.98,0.98,0.98
Unweighted mean ± std.,0.968 ± 0.005,0.990 ± 0.004,0.979 ± 0.003,0.990 ± 0.004,0.967 ± 0.005,0.978 ± 0.004,0.979 ± 0.004,0.979 ± 0.004,0.979 ± 0.004
