fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.973,0.995,0.984,0.995,0.972,0.984,0.984,0.984,0.984
2,0.981,0.997,0.989,0.997,0.98,0.989,0.989,0.989,0.989
3,0.973,0.994,0.983,0.994,0.972,0.983,0.984,0.983,0.983
4,0.974,0.997,0.985,0.997,0.973,0.985,0.986,0.985,0.985
5,0.98,0.997,0.988,0.997,0.979,0.988,0.988,0.988,0.988
Unweighted mean ± std.,0.976 ± 0.004,0.996 ± 0.001,0.986 ± 0.003,0.996 ± 0.001,0.975 ± 0.004,0.986 ± 0.003,0.986 ± 0.002,0.986 ± 0.003,0.986 ± 0.003
