fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.836,0.909,0.871,0.975,0.952,0.963,0.906,0.931,0.917
2,0.872,0.936,0.903,0.982,0.963,0.973,0.927,0.949,0.938
3,0.852,0.909,0.88,0.975,0.957,0.966,0.914,0.933,0.923
4,0.861,0.909,0.885,0.975,0.961,0.968,0.918,0.935,0.926
5,0.856,0.944,0.898,0.985,0.957,0.971,0.92,0.951,0.935
Unweighted mean ± std.,0.855 ± 0.013,0.921 ± 0.017,0.887 ± 0.013,0.978 ± 0.005,0.958 ± 0.004,0.968 ± 0.004,0.917 ± 0.008,0.940 ± 0.009,0.928 ± 0.009
