fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.866,0.945,0.904,0.986,0.963,0.974,0.926,0.954,0.939
2,0.889,0.943,0.915,0.985,0.97,0.978,0.937,0.957,0.947
3,0.844,0.916,0.879,0.978,0.957,0.968,0.911,0.937,0.923
4,0.887,0.927,0.907,0.981,0.97,0.976,0.934,0.949,0.941
5,0.873,0.937,0.904,0.984,0.966,0.975,0.929,0.952,0.94
Unweighted mean ± std.,0.872 ± 0.018,0.934 ± 0.012,0.902 ± 0.014,0.983 ± 0.003,0.965 ± 0.005,0.974 ± 0.004,0.927 ± 0.010,0.950 ± 0.008,0.938 ± 0.009
