fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.877,0.933,0.904,0.983,0.968,0.975,0.93,0.95,0.94
2,0.89,0.952,0.92,0.988,0.971,0.979,0.939,0.961,0.95
3,0.897,0.936,0.916,0.984,0.973,0.979,0.941,0.955,0.947
4,0.911,0.938,0.925,0.985,0.977,0.981,0.948,0.958,0.953
5,0.872,0.914,0.893,0.979,0.967,0.973,0.925,0.941,0.933
Unweighted mean ± std.,0.889 ± 0.016,0.935 ± 0.014,0.912 ± 0.013,0.984 ± 0.003,0.971 ± 0.004,0.977 ± 0.003,0.937 ± 0.009,0.953 ± 0.008,0.945 ± 0.008
