fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.798,0.909,0.85,0.976,0.941,0.958,0.887,0.925,0.904
2,0.798,0.925,0.857,0.98,0.94,0.959,0.889,0.932,0.908
3,0.8,0.924,0.858,0.98,0.941,0.96,0.89,0.932,0.909
4,0.843,0.9,0.871,0.974,0.957,0.965,0.909,0.929,0.918
5,0.834,0.88,0.857,0.969,0.955,0.962,0.901,0.918,0.909
Unweighted mean ± std.,0.815 ± 0.022,0.908 ± 0.019,0.859 ± 0.008,0.976 ± 0.005,0.947 ± 0.008,0.961 ± 0.003,0.895 ± 0.009,0.927 ± 0.006,0.910 ± 0.005
