fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.939,0.955,0.947,0.988,0.983,0.986,0.963,0.969,0.966
2,0.923,0.969,0.946,0.992,0.979,0.985,0.957,0.974,0.965
3,0.887,0.942,0.913,0.984,0.968,0.976,0.935,0.955,0.945
4,0.871,0.937,0.903,0.983,0.963,0.973,0.927,0.95,0.938
5,0.891,0.951,0.92,0.987,0.969,0.978,0.939,0.96,0.949
Unweighted mean ± std.,0.902 ± 0.028,0.951 ± 0.012,0.926 ± 0.020,0.987 ± 0.004,0.972 ± 0.008,0.980 ± 0.006,0.944 ± 0.015,0.962 ± 0.010,0.953 ± 0.012
