fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.963,0.712,0.819,0.923,0.992,0.956,0.943,0.852,0.888
2,0.98,0.671,0.797,0.914,0.996,0.953,0.947,0.834,0.875
3,0.951,0.729,0.825,0.927,0.989,0.957,0.939,0.859,0.891
4,0.954,0.715,0.817,0.924,0.99,0.956,0.939,0.852,0.887
5,0.976,0.704,0.818,0.922,0.995,0.957,0.949,0.85,0.888
Unweighted mean ± std.,0.965 ± 0.013,0.706 ± 0.022,0.815 ± 0.011,0.922 ± 0.005,0.992 ± 0.003,0.956 ± 0.002,0.943 ± 0.005,0.849 ± 0.009,0.886 ± 0.006
