fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,1.0,0.764,0.866,0.955,1.0,0.977,0.977,0.882,0.922
2,1.0,0.746,0.855,0.952,1.0,0.975,0.976,0.873,0.915
3,1.0,0.739,0.85,0.95,1.0,0.975,0.975,0.869,0.912
4,1.0,0.728,0.843,0.948,1.0,0.974,0.974,0.864,0.908
5,1.0,0.774,0.873,0.957,1.0,0.978,0.978,0.887,0.925
Unweighted mean ± std.,1.000 ± 0.000,0.750 ± 0.019,0.857 ± 0.012,0.952 ± 0.004,1.000 ± 0.000,0.976 ± 0.002,0.976 ± 0.002,0.875 ± 0.009,0.916 ± 0.007
