fold,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
1,0.986,0.684,0.808,0.902,0.997,0.947,0.944,0.84,0.877
2,0.993,0.703,0.823,0.908,0.998,0.951,0.95,0.851,0.887
3,0.987,0.693,0.814,0.905,0.997,0.949,0.946,0.845,0.881
4,0.973,0.679,0.8,0.901,0.994,0.945,0.937,0.836,0.872
5,0.968,0.708,0.817,0.908,0.992,0.948,0.938,0.85,0.883
Unweighted mean ± std.,0.981 ± 0.010,0.693 ± 0.012,0.812 ± 0.009,0.905 ± 0.003,0.996 ± 0.003,0.948 ± 0.002,0.943 ± 0.005,0.844 ± 0.006,0.880 ± 0.006
