dataset,n_total,n_human,n_ai,ratio_human,ratio_ai,pre_human,rec_human,f1_human,pre_ai,rec_ai,f1_ai,pre_macro,rec_macro,f1_macro
CLIN,1100.0,550.0,550.0,0.5,0.5,0.836,0.675,0.746,0.836,0.675,0.746,0.781,0.771,0.769
CSI,5447.0,907.0,4540.0,0.16651367725353405,0.833486322746466,0.894,1.0,0.944,0.894,1.0,0.944,0.945,0.702,0.759
News,3060.0,510.0,2550.0,0.16666666666666666,0.8333333333333334,0.967,0.999,0.983,0.967,0.999,0.983,0.981,0.913,0.943
Unweighted mean,3202.333,655.667,2546.667,0.278,0.722,0.899,0.891,0.891,0.899,0.891,0.891,0.902,0.795,0.824
