Fold,Precision,Recall,F1-macro,
1,0.9557183863157073,0.958985200845666,0.9573412698412698,
2,0.9639860902007897,0.9521299717452727,0.9579225970913557,
3,0.9513784461152883,0.9448143684179329,0.9480534989252448,
4,0.9765515401790125,0.9748369632090562,0.9756915039834131,
5,0.9716726710223688,0.9562323120462655,0.963726376802893,
Mean ± Std,0.9639 ± 0.0105,0.9574 ± 0.0111,0.9605 ± 0.0102,
